category,key,description,zh-CN.speaker,zh-CN.text,en.speaker,en.text,ja.speaker,ja.text,note
system,game.title,游戏标题,,未许客,,unauthorized-passenger,,未許可の乗客,
ui,ui.main.start,???????,,开始游戏,,Start,,スタート,
ui,ui.main.continue,???????,,继续游戏,,Continue,,続きから,
ui,ui.main.new_game,??????,,新游戏,,New Game,,ニューゲーム,
ui,ui.main.save_info_exists,???????????,,"最新存档：槽位 {0} / {1}
主按钮会读取最新存档；新游戏会从剧本起点重新开始。",,Latest save: Slot {0} / {1}\nThe main button loads the latest save; New Game restarts from the story opening.,,"最新セーブ：スロット {0} / {1}
メインボタンは最新セーブを読み込みます。ニューゲームは冒頭から始まります。",
ui,ui.main.save_info_empty,???????????,,"本地存档：无
创建存档后，主按钮会自动从“开始游戏”变为“继续游戏”。",,"Local save: None\nAfter creating a save, the main button changes from Start to Continue.",,"ローカルセーブ：なし
セーブを作成すると、メインボタンは「スタート」から「続きから」に変わります。",
ui,ui.common.settings,?????,,设置,,Settings,,設定,
ui,ui.common.quit,???????,,退出,,Quit,,終了,
ui,ui.common.exit,???????,,退出,,Exit,,閉じる,
ui,ui.common.back,????????,,返回,,Back,,戻る,
ui,ui.common.delete,?????,,删除,,Delete,,削除,
ui,ui.hud.save,HUD ??,,存档,,Save,,セーブ,
ui,ui.hud.load,HUD ??,,读档,,Load,,ロード,
ui,ui.hud.auto,HUD ??,,自动,,Auto,,オート,
ui,ui.hud.auto_on,HUD ????,,自动中,,Auto On,,オート中,
ui,ui.hud.skip,HUD ??,,跳过,,Skip,,スキップ,
ui,ui.hud.skip_on,HUD ????,,跳过中,,Skipping,,スキップ中,
ui,ui.hud.hide,HUD ?????,,隐藏,,Hide,,非表示,
ui,ui.hud.history,HUD ??,,历史,,Log,,履歴,
ui,ui.hud.title,HUD ???,,标题,,Title,,タイトル,
ui,ui.dialogue.continue,??????,,点击或空格继续,,Click or Space to continue,,クリックまたはSpaceで続行,
ui,ui.dialogue.choose,??????,,请选择,,Choose,,選択してください,
ui,ui.dialogue.typing,?????,,显示中...,,Typing...,,表示中...,
ui,ui.dialogue.skipping,?????,,跳过中,,Skipping,,スキップ中,
ui,ui.explore.title,????,,选择调查地点,,Choose a place to inspect,,調べる場所を選択,
ui,ui.history.title,????,,历史文本,,History Log,,履歴ログ,
ui,ui.history.empty,????,,暂无历史文本。,,No history yet.,,履歴はまだありません。,
ui,ui.save.title,?????,,存档,,Save,,セーブ,
ui,ui.load.title,?????,,读档,,Load,,ロード,
ui,ui.save.action,??????,,保存,,Save,,保存,
ui,ui.load.action,??????,,读取,,Load,,読込,
ui,ui.save.slot_empty,?????,,槽位 {0}  空,,Slot {0}  Empty,,スロット {0}  空,
ui,ui.save.slot_filled,????????,,槽位 {0}  {1}  {2}  {3},,Slot {0}  {1}  {2}  {3},,スロット {0}  {1}  {2}  {3},
ui,ui.save.slot_broken,??????,,槽位 {0}  存档损坏,,Slot {0}  Save corrupted,,スロット {0}  セーブ破損,
ui,ui.settings.text_speed,???????,,文本速度,,Text Speed,,文字速度,
ui,ui.settings.auto_delay,???????,,自动间隔,,Auto Delay,,オート間隔,
ui,ui.settings.volume,??????,,主音量,,Master Volume,,音量,
ui,ui.settings.camera_height,??????,,摄像头高度,,Camera Height,,カメラ高さ,
ui,ui.settings.fullscreen,???????,,全屏显示,,Fullscreen,,フルスクリーン,
ui,ui.settings.skip_unread,???????,,允许跳过未读文本,,Skip Unread Text,,未読スキップ許可,
ui,ui.settings.language,???????,,语言：{0},,Language: {0},,言語：{0},
ui,ui.settings.open_save,????????,,打开存档,,Save Slots,,セーブ画面,
ui,ui.settings.open_load,????????,,打开读档,,Load Slots,,ロード画面,
ui,ui.settings.open_history,???????,,查看历史,,History,,履歴を見る,
ui,ui.settings.reload_text,???????,,重载文案,,Reload Text,,文言再読込,
ui,ui.settings.delete_save,???????,,删除存档,,Delete Saves,,セーブ削除,
ui,ui.toast.no_save_start_new,???????????,,没有找到可读取的存档，已开始新游戏。,,No readable save found. Starting a new game.,,読込可能なセーブがないため、ニューゲームを開始します。,
ui,ui.toast.no_progress_to_save,?????????,,当前没有可保存的进度。,,There is no progress to save.,,保存できる進行状況がありません。,
ui,ui.toast.saved_slot,???????,,已保存到槽位 {0}。,,Saved to slot {0}.,,スロット {0} に保存しました。,
ui,ui.toast.loaded_slot,???????,,已读取槽位 {0}。,,Loaded slot {0}.,,スロット {0} を読み込みました。,
ui,ui.toast.deleted_slot,???????,,槽位 {0} 已删除。,,Deleted slot {0}.,,スロット {0} を削除しました。,
ui,ui.toast.all_saves_deleted,?????????,,本地存档已删除。,,Local saves deleted.,,ローカルセーブを削除しました。,
ui,ui.toast.auto_on,??????,,自动播放：开,,Auto: On,,オート：オン,
ui,ui.toast.auto_off,??????,,自动播放：关,,Auto: Off,,オート：オフ,
ui,ui.toast.skip_on,??????,,跳过：开,,Skip: On,,スキップ：オン,
ui,ui.toast.skip_off,??????,,跳过：关,,Skip: Off,,スキップ：オフ,
ui,ui.toast.reloaded_story,????????,,已热重载剧本表。,,Story table hot-reloaded.,,シナリオ表をホットリロードしました。,
ui,ui.toast.reloaded_explore,?????????,,已热重载探索点。,,Explore hotspots hot-reloaded.,,探索ポイントをホットリロードしました。,
ui,ui.toast.reloaded_text,????????,,已热重载文案。,,Text hot-reloaded.,,文言をホットリロードしました。,
ui,ui.toast.cannot_save_on_title,?????????,,标题界面不能存档。,,Cannot save on the title screen.,,タイトル画面ではセーブできません。,
ui,ui.toast.empty_slot,??????,,槽位 {0} 没有存档。,,Slot {0} has no save.,,スロット {0} にセーブはありません。,
ui,ui.toast.no_languages,????????,,尚未配置多语言表。,,No languages configured.,,言語設定がありません。,
ui,ui.toast.language_changed,???????,,语言预设：{0},,Language: {0},,言語：{0},
explore,explore.bed,探索热点测试占位 01,,热点占位 01,,Hotspot placeholder 01,,ホットスポット仮文 01,
explore,explore.desk,探索热点测试占位 02,,热点占位 02,,Hotspot placeholder 02,,ホットスポット仮文 02,
explore,explore.living_room,探索热点测试占位 03,,热点占位 03,,Hotspot placeholder 03,,ホットスポット仮文 03,
explore,explore.entry,探索热点测试占位 04,,热点占位 04,,Hotspot placeholder 04,,ホットスポット仮文 04,
explore,explore.tv,探索热点测试占位 05,,热点占位 05,,Hotspot placeholder 05,,ホットスポット仮文 05,
explore,explore.back_to_bedroom,探索热点测试占位 06,,热点占位 06,,Hotspot placeholder 06,,ホットスポット仮文 06,
explore,explore.front_door,探索热点测试占位 07,,热点占位 07,,Hotspot placeholder 07,,ホットスポット仮文 07,
explore,explore.entry_to_living,探索热点测试占位 08,,热点占位 08,,Hotspot placeholder 08,,ホットスポット仮文 08,
story,node.prologue_001,剧情测试占位 01,测试角色,中文测试占位文案 01：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 01: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 01：本文表示、折り返し、ホットリロード確認用。,
story,node.prologue_002,剧情测试占位 02,测试角色,中文测试占位文案 02：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 02: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 02：本文表示、折り返し、ホットリロード確認用。,
story,node.prologue_003,剧情测试占位 03,测试角色,中文测试占位文案 03：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 03: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 03：本文表示、折り返し、ホットリロード確認用。,
story,node.bed_001,剧情测试占位 04,测试角色,中文测试占位文案 04：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 04: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 04：本文表示、折り返し、ホットリロード確認用。,
story,node.bed_002,剧情测试占位 05,测试角色,中文测试占位文案 05：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 05: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 05：本文表示、折り返し、ホットリロード確認用。,
story,node.desk_001,剧情测试占位 06,测试角色,中文测试占位文案 06：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 06: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 06：本文表示、折り返し、ホットリロード確認用。,
story,node.desk_002,剧情测试占位 07,测试角色,中文测试占位文案 07：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 07: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 07：本文表示、折り返し、ホットリロード確認用。,
story,node.living_001,剧情测试占位 08,测试角色,中文测试占位文案 08：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 08: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 08：本文表示、折り返し、ホットリロード確認用。,
story,node.living_002,剧情测试占位 09,测试角色,中文测试占位文案 09：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 09: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 09：本文表示、折り返し、ホットリロード確認用。,
story,node.entry_001,剧情测试占位 10,测试角色,中文测试占位文案 10：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 10: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 10：本文表示、折り返し、ホットリロード確認用。,
story,node.entry_002,剧情测试占位 11,测试角色,中文测试占位文案 11：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 11: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 11：本文表示、折り返し、ホットリロード確認用。,
choice,choice.entry_002.01,选项测试占位 01,,中文选项占位 01,,English choice placeholder 01,,日本語選択肢仮文 01,
choice,choice.entry_002.02,选项测试占位 02,,中文选项占位 02,,English choice placeholder 02,,日本語選択肢仮文 02,
choice,choice.entry_002.03,选项测试占位 03,,中文选项占位 03,,English choice placeholder 03,,日本語選択肢仮文 03,
story,node.ending_001,剧情测试占位 12,测试角色,中文测试占位文案 12：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 12: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 12：本文表示、折り返し、ホットリロード確認用。,
story,node.ending_002,剧情测试占位 13,测试角色,中文测试占位文案 13：用于验证剧情文本、换行与热重载。,Test Speaker,"English placeholder line 13: used to verify story text, wrapping, and hot reload.",テスト役,日本語テスト仮文 13：本文表示、折り返し、ホットリロード確認用。,
choice,choice.ending_002.01,选项测试占位 04,,中文选项占位 04,,English choice placeholder 04,,日本語選択肢仮文 04,
choice,choice.ending_002.02,选项测试占位 05,,中文选项占位 05,,English choice placeholder 05,,日本語選択肢仮文 05,
